symbol,shares,as_of,source
20MICRONS,35286502,2026-07-12,yfinance_fast_info
21STCENMGM,10500000,2026-07-12,yfinance_fast_info
360ONE,406685017,2026-07-12,yfinance_fast_info
3IINFOLTD,207403767,2026-07-12,yfinance_fast_info
3MINDIA,11265070,2026-07-12,yfinance_fast_info
5PAISA,46879257,2026-07-12,yfinance_fast_info
63MOONS,46078537,2026-07-12,yfinance_fast_info
A2ZINFRA,177522358,2026-07-12,yfinance_fast_info
AAATECH,12826800,2026-07-12,yfinance_fast_info
AADHARHFC,437337117,2026-07-12,yfinance_fast_info
AAKASH,101250000,2026-07-12,yfinance_fast_info
AARON,20946478,2026-07-12,yfinance_fast_info
AARTIDRUGS,91270000,2026-07-12,yfinance_fast_info
AARTIIND,362726695,2026-07-12,yfinance_fast_info
AARTIPHARM,90679813,2026-07-12,yfinance_fast_info
AARTISURF,8470905,2026-07-12,yfinance_fast_info
AARVI,14810700,2026-07-12,yfinance_fast_info
AAVAS,79290026,2026-07-12,yfinance_fast_info
ABB,211908375,2026-07-12,yfinance_fast_info
ABBOTINDIA,21249302,2026-07-12,yfinance_fast_info
ABCAPITAL,2735816480,2026-07-12,yfinance_fast_info
ABCOTS,21963620,2026-07-12,yfinance_fast_info
ABDL,279710151,2026-07-12,yfinance_fast_info
ABFRL,1216777241,2026-07-12,yfinance_fast_info
ABINFRA,638789360,2026-07-12,yfinance_fast_info
ABLBL,1214638186,2026-07-12,yfinance_fast_info
ABMINTLLTD,9408000,2026-07-12,yfinance_fast_info
ABREL,110577844,2026-07-12,yfinance_fast_info
ABSLAMC,289203494,2026-07-12,yfinance_fast_info
ACC,187787263,2026-07-12,yfinance_fast_info
ACCELYA,14926261,2026-07-12,yfinance_fast_info
ACE,119020076,2026-07-12,yfinance_fast_info
ACEINTEG,10200000,2026-07-12,yfinance_fast_info
ACI,123458394,2026-07-12,yfinance_fast_info
ACL,92172140,2026-07-12,yfinance_fast_info
ACMESOLAR,706291446,2026-07-12,yfinance_fast_info
ACUTAAS,81871122,2026-07-12,yfinance_fast_info
ADANIENSOL,1201282642,2026-07-12,yfinance_fast_info
ADANIENT,1353722600,2026-07-12,yfinance_fast_info
ADANIGREEN,1647176155,2026-07-12,yfinance_fast_info
ADANIPORTS,2303959098,2026-07-12,yfinance_fast_info
ADANIPOWER,19284694705,2026-07-12,yfinance_fast_info
ADFFOODS,109863595,2026-07-12,yfinance_fast_info
ADL,5566250,2026-07-12,yfinance_fast_info
ADOR,17402815,2026-07-12,yfinance_fast_info
ADROITINFO,57268430,2026-07-12,yfinance_fast_info
ADSL,56568528,2026-07-12,yfinance_fast_info
ADVAIT,10936777,2026-07-12,yfinance_fast_info
ADVANCE,64285720,2026-07-12,yfinance_fast_info
ADVANIHOTR,92438500,2026-07-12,yfinance_fast_info
ADVENTHTL,53942887,2026-07-12,yfinance_fast_info
ADVENZYMES,111976150,2026-07-12,yfinance_fast_info
AEGISLOG,351000000,2026-07-12,yfinance_fast_info
AEGISVOPAK,1107991489,2026-07-12,yfinance_fast_info
AEPL,251036900,2026-07-12,yfinance_fast_info
AEQUS,654854135,2026-07-12,yfinance_fast_info
AEROENTER,113164200,2026-07-12,yfinance_fast_info
AEROFLEX,132330768,2026-07-12,yfinance_fast_info
AERONEU,25796000,2026-07-12,yfinance_fast_info
AETHER,132712576,2026-07-12,yfinance_fast_info
AFCONS,367784631,2026-07-12,yfinance_fast_info
AFFLE,140640627,2026-07-12,yfinance_fast_info
AFSL,50839759,2026-07-12,yfinance_fast_info
AGARIND,14957789,2026-07-12,yfinance_fast_info
AGARWALEYE,317026183,2026-07-12,yfinance_fast_info
AGI,64697381,2026-07-12,yfinance_fast_info
AGIIL,124997388,2026-07-12,yfinance_fast_info
AGROPHOS,20274115,2026-07-12,yfinance_fast_info
AHCL,531515000,2026-07-12,yfinance_fast_info
AHLADA,12921000,2026-07-12,yfinance_fast_info
AHLEAST,17291696,2026-07-12,yfinance_fast_info
AHLUCONT,66987560,2026-07-12,yfinance_fast_info
AIAENG,93320370,2026-07-12,yfinance_fast_info
AIIL,849225500,2026-07-12,yfinance_fast_info
AIRAN,125020000,2026-07-12,yfinance_fast_info
AIROLAM,15002000,2026-07-12,yfinance_fast_info
AJANTPHARM,124935624,2026-07-12,yfinance_fast_info
AJAXENGG,114406800,2026-07-12,yfinance_fast_info
AJMERA,196795650,2026-07-12,yfinance_fast_info
AJOONI,172243598,2026-07-12,yfinance_fast_info
AKASH,16862534,2026-07-12,yfinance_fast_info
AKG,31776576,2026-07-12,yfinance_fast_info
AKI,103205956,2026-07-12,yfinance_fast_info
AKSHAR,787468500,2026-07-12,yfinance_fast_info
AKUMS,153102058,2026-07-12,yfinance_fast_info
ALANKIT,271158100,2026-07-12,yfinance_fast_info
ALBERTDAVD,5707162,2026-07-12,yfinance_fast_info
ALEMBICLTD,256781828,2026-07-12,yfinance_fast_info
ALGOQUANT,281096028,2026-07-12,yfinance_fast_info
